time,volumeAll,volumeAbove,groundedArea,floatingArea,totalArea,groundedPlusLand,SLE,LRF,rollmean
34.0,1.944599577649e+16,1.703664847469e+16,9233782000000.0,1186309000000.0,10420091000000.0,10875151000000.0,43180.228444695225,,
35.0,1.943836196967e+16,1.703568012743e+16,9230395000000.0,1189603000000.0,10419998000000.0,10871790000000.0,43177.774120655915,0.00030679050491411175,
36.0,1.943099914511e+16,1.703475998863e+16,9226978000000.0,1193043000000.0,10420021000000.0,10868315000000.0,43175.44198334359,0.00029151716404030026,
37.0,1.942375693994e+16,1.703380957301e+16,9223476000000.0,1196543000000.0,10420019000000.0,10864845000000.0,43173.033107933035,0.00030110942631900173,
38.0,1.941710609721e+16,1.703317323071e+16,9220335000000.0,1200000000000.0,10420335000000.0,10861629000000.0,43171.42026689074,0.00020160513028777416,
39.0,1.941033931533e+16,1.703216660479e+16,9216960000000.0,1203386000000.0,10420346000000.0,10858277000000.0,43168.86892369384,0.0003189178996123587,
40.0,1.940374176476e+16,1.703120093367e+16,9213551000000.0,1206797000000.0,10420348000000.0,10854875000000.0,43166.42138246376,0.0003059426537594945,
41.0,1.939709676736e+16,1.70299508529e+16,9209825000000.0,1210285000000.0,10420110000000.0,10851193000000.0,43163.25299090464,0.00039604894488931564,
42.0,1.939094248727e+16,1.702903794592e+16,9206204000000.0,1213891000000.0,10420095000000.0,10847555000000.0,43160.93918299791,0.00028922598834224544,
43.0,1.938513762672e+16,1.70280416942e+16,9202625000000.0,1217429000000.0,10420054000000.0,10844021000000.0,43158.41413372416,0.0003156311592187322,
44.0,1.938031249379e+16,1.702763890914e+16,9199519000000.0,1221077000000.0,10420596000000.0,10840547000000.0,43157.393255061856,0.00012760983278781168,0.0002854398704171146
45.0,1.937478641489e+16,1.702644108769e+16,9195708000000.0,1224683000000.0,10420391000000.0,10836892000000.0,43154.3573173348,0.00037949221588196025,0.0002927100415138995
46.0,1.937217492241e+16,1.702794084347e+16,9193501000000.0,1228385000000.0,10421886000000.0,10833393000000.0,43158.158522559395,-0.0004751506530746852,0.0002160432598024009
47.0,1.936433165959e+16,1.702408807585e+16,9188366000000.0,1232034000000.0,10420400000000.0,10829617000000.0,43148.393492411415,0.0012206287684977113,0.0003079951940202719
48.0,1.935977661109e+16,1.702344469974e+16,9185072000000.0,1235444000000.0,10420516000000.0,10826219000000.0,43146.76282382969,0.0002038335727156948,0.0003082180382630639
49.0,1.935464565414e+16,1.702207089267e+16,9181389000000.0,1238963000000.0,10420352000000.0,10822611000000.0,43143.28084184188,0.00043524774847636394,0.00031985102314946445
